stn_code,stn_name,xcrd,ycrd
764,Kloosterzande,60000.0,378000.0
767,Kapellebrug,61000.0,364000.0
770,Westdorpe,48000.0,360000.0
827,Tilburg,137000.0,397000.0
828,Oudenbosch,95000.0,399000.0
829,Zundert,105000.0,387000.0
830,Herwijnen,138000.0,426000.0
831,Esbeek,137000.0,385000.0
832,Bergen op Zoom,76000.0,391000.0
833,Oosterhout,119000.0,406000.0
834,Chaam,119000.0,391000.0
835,Andel,132000.0,422000.0
836,Gorinchem,127000.0,428000.0
837,Steenbergen Nb,83000.0,401000.0
838,Ginneken,110000.0,396000.0
839,Hoogerheide,79000.0,383000.0
840,Nieuwendijk Nb,123000.0,420000.0
841,Klundert,95000.0,409000.0
843,Gilze-Rijen,123000.0,396000.0
844,Capelle Nb,127000.0,410000.0
883,Sevenum,198000.0,378000.0
892,Giersbergen,139000.0,408000.0
896,Helmond,170000.0,386000.0
897,Venlo,211000.0,372000.0
899,Gemert,175000.0,396000.0
901,Nuland,158000.0,415000.0
903,Megen,167000.0,426000.0
904,Someren,176000.0,379000.0
905,St Anthonis,192000.0,404000.0
906,Oirschot,150000.0,392000.0
907,Boxtel,151000.0,399000.0
908,Deurne,182000.0,384000.0
909,Mill,183000.0,410000.0
910,Ammerzoden,143000.0,417000.0
911,Dinther,163000.0,405000.0
912,Leende,165000.0,371000.0
913,IJsselsteyn L,190000.0,389000.0
914,Oss,165000.0,419000.0
915,Eersel,146000.0,375000.0
917,Zaltbommel,145000.0,425000.0
918,Maarheeze,170000.0,369000.0
919,Eindhoven Vliegbasis,152000.0,385000.0
920,Volkel,176000.0,406000.0
921,Venray,197000.0,392000.0
922,Siebengewald,204000.0,407000.0
923,Arcen,211000.0,389000.0
926,Waalre,158000.0,375000.0
961,Roermond,195000.0,355000.0
962,Ubachsberg,192000.0,318000.0
963,Valkenburg L,187000.0,318000.0
964,Weert,177000.0,365000.0
965,Schaesberg,199000.0,323000.0
966,Schinnen,189000.0,327000.0
967,Heibloem,190000.0,368000.0
968,Vaals,197000.0,310000.0
969,Stein,179000.0,330000.0
970,Stramproy,178000.0,355000.0
971,Noorbeek,185000.0,309000.0
973,Beek,185000.0,326000.0
974,Buchten,184000.0,339000.0
979,Echt,192000.0,344000.0
980,Epen (Nieuw) L,192000.0,308000.0
981,Oost Maarland,178000.0,312000.0
982,Schinveld,196000.0,332000.0
983,Kessel-Eik (N),200000.0,367000.0
