Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,29-10-2015,tot:,11-09-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28F1490,003,,259592,490035,2020,18-08-2015,18-08-2015,11-09-2019,2075,55,410,360


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28F1490,003,17-09-2016,190,135,1885,,,,,,
B28F1490,003,18-09-2016,189,134,1886,,,,,,
B28F1490,003,19-09-2016,191,136,1884,,,,,,
B28F1490,003,20-09-2016,191,136,1884,,,,,,
B28F1490,003,21-09-2016,192,137,1883,,,,,,
B28F1490,003,22-09-2016,194,139,1881,,,,,,
B28F1490,003,23-09-2016,196,141,1879,,,,,,
B28F1490,003,24-09-2016,198,143,1877,,,,,,
B28F1490,003,25-09-2016,200,145,1875,,,,,,
B28F1490,003,26-09-2016,201,146,1874,,,,,,
B28F1490,003,27-09-2016,202,147,1873,,,,,,
B28F1490,003,28-09-2016,204,149,1871,,,,,,
B28F1490,003,29-09-2016,204,149,1871,,,,,,
B28F1490,003,30-09-2016,199,144,1876,,,,,,
B28F1490,003,01-10-2016,197,142,1878,,,,,,
B28F1490,003,02-10-2016,196,141,1879,,,,,,
B28F1490,003,03-10-2016,195,140,1880,,,,,,
B28F1490,003,04-10-2016,195,140,1880,,,,,,
B28F1490,003,05-10-2016,197,142,1878,,,,,,
B28F1490,003,06-10-2016,197,142,1878,,,,,,
B28F1490,003,07-10-2016,197,142,1878,,,,,,
B28F1490,003,08-10-2016,197,142,1878,,,,,,
B28F1490,003,09-10-2016,196,141,1879,,,,,,
B28F1490,003,10-10-2016,195,140,1880,,,,,,
B28F1490,003,11-10-2016,194,139,1881,,,,,,
B28F1490,003,12-10-2016,192,137,1883,,,,,,
B28F1490,003,13-10-2016,192,137,1883,,,,,,
B28F1490,003,14-10-2016,193,138,1882,,,,,,
B28F1490,003,15-10-2016,194,139,1881,,,,,,
B28F1490,003,16-10-2016,192,137,1883,,,,,,
B28F1490,003,17-10-2016,193,138,1882,,,,,,
B28F1490,003,18-10-2016,192,137,1883,,,,,,
B28F1490,003,19-10-2016,183,128,1892,,,,,,
B28F1490,003,20-10-2016,172,117,1903,,,,,,
B28F1490,003,21-10-2016,169,114,1906,,,,,,
B28F1490,003,22-10-2016,157,102,1918,,,,,,
B28F1490,003,23-10-2016,157,102,1918,,,,,,
B28F1490,003,24-10-2016,157,102,1918,,,,,,
B28F1490,003,25-10-2016,158,103,1917,,,,,,
B28F1490,003,26-10-2016,158,103,1917,,,,,,
B28F1490,003,27-10-2016,158,103,1917,,,,,,
B28F1490,003,28-10-2016,158,103,1917,,,,,,
B28F1490,003,29-10-2016,158,103,1917,,,,,,
B28F1490,003,30-10-2016,158,103,1917,,,,,,
B28F1490,003,31-10-2016,157,102,1918,,,,,,
B28F1490,003,01-11-2016,157,102,1918,,,,,,
B28F1490,003,02-11-2016,156,101,1919,,,,,,
B28F1490,003,03-11-2016,157,102,1918,,,,,,
B28F1490,003,04-11-2016,156,101,1919,,,,,,
B28F1490,003,05-11-2016,155,100,1920,,,,,,
B28F1490,003,06-11-2016,155,100,1920,,,,,,
B28F1490,003,07-11-2016,155,100,1920,,,,,,
B28F1490,003,08-11-2016,146,91,1929,,,,,,
B28F1490,003,09-11-2016,145,90,1930,,,,,,
B28F1490,003,10-11-2016,143,88,1932,,,,,,
B28F1490,003,11-11-2016,144,89,1931,,,,,,
B28F1490,003,12-11-2016,144,89,1931,,,,,,
B28F1490,003,13-11-2016,144,89,1931,,,,,,
B28F1490,003,14-11-2016,145,90,1930,,,,,,
B28F1490,003,15-11-2016,142,87,1933,,,,,,
B28F1490,003,16-11-2016,133,78,1942,,,,,,
B28F1490,003,17-11-2016,123,68,1952,,,,,,
B28F1490,003,18-11-2016,92,37,1983,,,,,,
B28F1490,003,19-11-2016,96,41,1979,,,,,,
B28F1490,003,20-11-2016,94,39,1981,,,,,,
B28F1490,003,21-11-2016,95,40,1980,,,,,,
B28F1490,003,22-11-2016,98,43,1977,,,,,,
B28F1490,003,23-11-2016,101,46,1974,,,,,,
B28F1490,003,24-11-2016,104,49,1971,,,,,,
B28F1490,003,25-11-2016,106,51,1969,,,,,,
B28F1490,003,26-11-2016,109,54,1966,,,,,,
B28F1490,003,27-11-2016,110,55,1965,,,,,,
B28F1490,003,28-11-2016,113,58,1962,,,,,,
B28F1490,003,29-11-2016,115,60,1960,,,,,,
B28F1490,003,30-11-2016,116,61,1959,,,,,,
B28F1490,003,01-12-2016,116,61,1959,,,,,,
B28F1490,003,02-12-2016,117,62,1958,,,,,,
B28F1490,003,03-12-2016,118,63,1957,,,,,,
B28F1490,003,04-12-2016,119,64,1956,,,,,,
B28F1490,003,05-12-2016,120,65,1955,,,,,,
B28F1490,003,06-12-2016,122,67,1953,,,,,,
B28F1490,003,07-12-2016,122,67,1953,,,,,,
B28F1490,003,08-12-2016,122,67,1953,,,,,,
B28F1490,003,09-12-2016,122,67,1953,,,,,,
B28F1490,003,10-12-2016,121,66,1954,,,,,,
B28F1490,003,11-12-2016,97,42,1978,,,,,,
B28F1490,003,12-12-2016,100,45,1975,,,,,,
B28F1490,003,13-12-2016,102,47,1973,,,,,,
B28F1490,003,14-12-2016,104,49,1971,,,,,,
B28F1490,003,15-12-2016,105,50,1970,,,,,,
B28F1490,003,16-12-2016,107,52,1968,,,,,,
B28F1490,003,17-12-2016,109,54,1966,,,,,,
B28F1490,003,18-12-2016,110,55,1965,,,,,,
B28F1490,003,19-12-2016,110,55,1965,,,,,,
B28F1490,003,20-12-2016,111,56,1964,,,,,,
B28F1490,003,21-12-2016,113,58,1962,,,,,,
B28F1490,003,22-12-2016,102,47,1973,,,,,,
B28F1490,003,23-12-2016,101,46,1974,,,,,,
B28F1490,003,24-12-2016,101,46,1974,,,,,,
B28F1490,003,25-12-2016,102,47,1973,,,,,,
B28F1490,003,26-12-2016,98,43,1977,,,,,,
B28F1490,003,27-12-2016,100,45,1975,,,,,,
B28F1490,003,28-12-2016,102,47,1973,,,,,,
B28F1490,003,29-12-2016,103,48,1972,,,,,,
B28F1490,003,30-12-2016,105,50,1970,,,,,,
B28F1490,003,31-12-2016,106,51,1969,,,,,,
B28F1490,003,01-01-2017,105,50,1970,,,,,,
B28F1490,003,02-01-2017,106,51,1969,,,,,,
B28F1490,003,03-01-2017,105,50,1970,,,,,,
B28F1490,003,04-01-2017,96,41,1979,,,,,,
B28F1490,003,05-01-2017,95,40,1980,,,,,,
B28F1490,003,06-01-2017,99,44,1976,,,,,,
B28F1490,003,07-01-2017,100,45,1975,,,,,,
B28F1490,003,08-01-2017,101,46,1974,,,,,,
B28F1490,003,09-01-2017,96,41,1979,,,,,,
B28F1490,003,10-01-2017,88,33,1987,,,,,,
B28F1490,003,11-01-2017,87,32,1988,,,,,,
B28F1490,003,12-01-2017,84,29,1991,,,,,,
B28F1490,003,13-01-2017,74,19,2001,,,,,,
B28F1490,003,14-01-2017,69,14,2006,,,,,,
