Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,25-02-2012,tot:,22-01-2020,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28B1389,002,,232673,488629,991,01-12-2011,01-12-2011,25-02-2012,,,,
B28B1389,002,,232673,488629,991,01-12-2011,25-02-2012,22-01-2020,1003,12,828,778


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28B1389,002,20-06-2013,148,136,855,,,,,,
B28B1389,002,21-06-2013,140,128,863,,,,,,
B28B1389,002,22-06-2013,140,128,863,,,,,,
B28B1389,002,23-06-2013,141,129,862,,,,,,
B28B1389,002,24-06-2013,143,131,860,,,,,,
B28B1389,002,25-06-2013,144,132,859,,,,,,
B28B1389,002,26-06-2013,145,133,858,,,,,,
B28B1389,002,27-06-2013,144,132,859,,,,,,
B28B1389,002,28-06-2013,142,130,861,,,,,,
B28B1389,002,29-06-2013,139,127,864,,,,,,
B28B1389,002,30-06-2013,136,124,867,,,,,,
B28B1389,002,01-07-2013,136,124,867,,,,,,
B28B1389,002,02-07-2013,137,125,866,,,,,,
B28B1389,002,03-07-2013,138,126,865,,,,,,
B28B1389,002,04-07-2013,141,129,862,,,,,,
B28B1389,002,05-07-2013,143,131,860,,,,,,
B28B1389,002,06-07-2013,144,132,859,,,,,,
B28B1389,002,07-07-2013,147,135,856,,,,,,
B28B1389,002,08-07-2013,149,137,854,,,,,,
B28B1389,002,09-07-2013,150,138,853,,,,,,
B28B1389,002,10-07-2013,152,140,851,,,,,,
B28B1389,002,11-07-2013,155,143,848,,,,,,
B28B1389,002,12-07-2013,158,146,845,,,,,,
B28B1389,002,13-07-2013,160,148,843,,,,,,
B28B1389,002,14-07-2013,162,150,841,,,,,,
B28B1389,002,15-07-2013,165,153,838,,,,,,
B28B1389,002,16-07-2013,168,156,835,,,,,,
B28B1389,002,17-07-2013,171,159,832,,,,,,
B28B1389,002,18-07-2013,173,161,830,,,,,,
B28B1389,002,19-07-2013,176,164,827,,,,,,
B28B1389,002,20-07-2013,178,166,825,,,,,,
B28B1389,002,21-07-2013,180,168,823,,,,,,
B28B1389,002,22-07-2013,182,170,821,,,,,,
B28B1389,002,23-07-2013,185,173,818,,,,,,
B28B1389,002,24-07-2013,188,176,815,,,,,,
B28B1389,002,25-07-2013,175,163,828,,,,,,
B28B1389,002,26-07-2013,177,165,826,,,,,,
B28B1389,002,27-07-2013,176,164,827,,,,,,
B28B1389,002,28-07-2013,169,157,834,,,,,,
B28B1389,002,29-07-2013,166,154,837,,,,,,
B28B1389,002,30-07-2013,169,157,834,,,,,,
B28B1389,002,31-07-2013,170,158,833,,,,,,
B28B1389,002,01-08-2013,172,160,831,,,,,,
B28B1389,002,02-08-2013,175,163,828,,,,,,
B28B1389,002,03-08-2013,180,168,823,,,,,,
B28B1389,002,04-08-2013,183,171,820,,,,,,
B28B1389,002,05-08-2013,184,172,819,,,,,,
B28B1389,002,06-08-2013,187,175,816,,,,,,
B28B1389,002,07-08-2013,187,175,816,,,,,,
B28B1389,002,08-08-2013,184,172,819,,,,,,
B28B1389,002,09-08-2013,186,174,817,,,,,,
B28B1389,002,10-08-2013,188,176,815,,,,,,
B28B1389,002,11-08-2013,190,178,813,,,,,,
B28B1389,002,12-08-2013,191,179,812,,,,,,
B28B1389,002,13-08-2013,194,182,809,,,,,,
B28B1389,002,14-08-2013,193,181,810,,,,,,
B28B1389,002,15-08-2013,194,182,809,,,,,,
B28B1389,002,16-08-2013,195,183,808,,,,,,
B28B1389,002,17-08-2013,196,184,807,,,,,,
B28B1389,002,18-08-2013,197,185,806,,,,,,
B28B1389,002,19-08-2013,199,187,804,,,,,,
B28B1389,002,20-08-2013,200,188,803,,,,,,
B28B1389,002,21-08-2013,200,188,803,,,,,,
B28B1389,002,22-08-2013,201,189,802,,,,,,
B28B1389,002,23-08-2013,202,190,801,,,,,,
B28B1389,002,24-08-2013,203,191,800,,,,,,
B28B1389,002,25-08-2013,204,192,799,,,,,,
B28B1389,002,26-08-2013,206,194,797,,droog,,,,
B28B1389,002,27-08-2013,207,195,796,,droog,,,,
B28B1389,002,28-08-2013,205,193,798,,,,,,
B28B1389,002,29-08-2013,204,192,799,,,,,,
B28B1389,002,30-08-2013,204,192,799,,,,,,
B28B1389,002,31-08-2013,204,192,799,,,,,,
B28B1389,002,01-09-2013,204,192,799,,,,,,
B28B1389,002,02-09-2013,204,192,799,,,,,,
B28B1389,002,03-09-2013,204,192,799,,,,,,
B28B1389,002,04-09-2013,205,193,798,,,,,,
B28B1389,002,05-09-2013,205,193,798,,,,,,
B28B1389,002,06-09-2013,205,193,798,,,,,,
B28B1389,002,07-09-2013,204,192,799,,,,,,
B28B1389,002,08-09-2013,204,192,799,,,,,,
B28B1389,002,09-09-2013,204,192,799,,,,,,
B28B1389,002,10-09-2013,203,191,800,,,,,,
B28B1389,002,11-09-2013,189,177,814,,,,,,
B28B1389,002,12-09-2013,182,170,821,,,,,,
B28B1389,002,13-09-2013,179,167,824,,,,,,
B28B1389,002,14-09-2013,176,164,827,,,,,,
B28B1389,002,15-09-2013,174,162,829,,,,,,
B28B1389,002,16-09-2013,172,160,831,,,,,,
B28B1389,002,17-09-2013,171,159,832,,,,,,
B28B1389,002,18-09-2013,170,158,833,,,,,,
B28B1389,002,19-09-2013,170,158,833,,,,,,
B28B1389,002,20-09-2013,170,158,833,,,,,,
B28B1389,002,21-09-2013,170,158,833,,,,,,
B28B1389,002,22-09-2013,169,157,834,,,,,,
B28B1389,002,23-09-2013,169,157,834,,,,,,
B28B1389,002,24-09-2013,169,157,834,,,,,,
B28B1389,002,25-09-2013,169,157,834,,,,,,
B28B1389,002,26-09-2013,172,160,831,,,,,,
B28B1389,002,27-09-2013,172,160,831,,,,,,
B28B1389,002,28-09-2013,174,162,829,,,,,,
B28B1389,002,29-09-2013,175,163,828,,,,,,
B28B1389,002,30-09-2013,177,165,826,,,,,,
B28B1389,002,01-10-2013,179,167,824,,,,,,
B28B1389,002,02-10-2013,181,169,822,,,,,,
B28B1389,002,03-10-2013,182,170,821,,,,,,
B28B1389,002,04-10-2013,183,171,820,,,,,,
B28B1389,002,05-10-2013,185,173,818,,,,,,
B28B1389,002,06-10-2013,187,175,816,,,,,,
B28B1389,002,07-10-2013,188,176,815,,,,,,
B28B1389,002,08-10-2013,188,176,815,,,,,,
B28B1389,002,09-10-2013,189,177,814,,,,,,
B28B1389,002,10-10-2013,190,178,813,,,,,,
B28B1389,002,11-10-2013,191,179,812,,,,,,
B28B1389,002,12-10-2013,179,167,824,,,,,,
B28B1389,002,13-10-2013,168,156,835,,,,,,
B28B1389,002,14-10-2013,162,150,841,,,,,,
B28B1389,002,15-10-2013,158,146,845,,,,,,
B28B1389,002,16-10-2013,157,145,846,,,,,,
B28B1389,002,17-10-2013,154,142,849,,,,,,
B28B1389,002,18-10-2013,154,142,849,,,,,,
B28B1389,002,19-10-2013,151,139,852,,,,,,
B28B1389,002,20-10-2013,152,140,851,,,,,,
B28B1389,002,21-10-2013,151,139,852,,,,,,
B28B1389,002,22-10-2013,149,137,854,,,,,,
B28B1389,002,23-10-2013,147,135,856,,,,,,
B28B1389,002,24-10-2013,146,134,857,,,,,,
B28B1389,002,25-10-2013,142,130,861,,,,,,
B28B1389,002,26-10-2013,142,130,861,,,,,,
B28B1389,002,27-10-2013,140,128,863,,,,,,
B28B1389,002,28-10-2013,139,127,864,,,,,,
B28B1389,002,29-10-2013,141,129,862,,,,,,
B28B1389,002,30-10-2013,141,129,862,,,,,,
B28B1389,002,31-10-2013,138,126,865,,,,,,
B28B1389,002,01-11-2013,137,125,866,,,,,,
B28B1389,002,02-11-2013,136,124,867,,,,,,
B28B1389,002,03-11-2013,136,124,867,,,,,,
B28B1389,002,04-11-2013,129,117,874,,,,,,
B28B1389,002,05-11-2013,123,111,880,,,,,,
B28B1389,002,06-11-2013,121,109,882,,,,,,
B28B1389,002,07-11-2013,118,106,885,,,,,,
B28B1389,002,08-11-2013,113,101,890,,,,,,
B28B1389,002,09-11-2013,111,99,892,,,,,,
B28B1389,002,10-11-2013,106,94,897,,,,,,
B28B1389,002,11-11-2013,105,93,898,,,,,,
B28B1389,002,12-11-2013,100,88,903,,,,,,
B28B1389,002,13-11-2013,101,89,902,,,,,,
B28B1389,002,14-11-2013,97,85,906,,,,,,
B28B1389,002,15-11-2013,103,91,900,,,,,,
B28B1389,002,16-11-2013,101,89,902,,,,,,
B28B1389,002,17-11-2013,101,89,902,,,,,,
B28B1389,002,18-11-2013,98,86,905,,,,,,
B28B1389,002,19-11-2013,102,90,901,,,,,,
B28B1389,002,20-11-2013,101,89,902,,,,,,
B28B1389,002,21-11-2013,106,94,897,,,,,,
B28B1389,002,22-11-2013,107,95,896,,,,,,
B28B1389,002,23-11-2013,109,97,894,,,,,,
B28B1389,002,24-11-2013,110,98,893,,,,,,
B28B1389,002,25-11-2013,111,99,892,,,,,,
B28B1389,002,26-11-2013,112,100,891,,,,,,
B28B1389,002,27-11-2013,111,99,892,,,,,,
B28B1389,002,28-11-2013,112,100,891,,,,,,
B28B1389,002,29-11-2013,106,94,897,,,,,,
B28B1389,002,30-11-2013,112,100,891,,,,,,
B28B1389,002,01-12-2013,111,99,892,,,,,,
B28B1389,002,02-12-2013,112,100,891,,,,,,
B28B1389,002,03-12-2013,110,98,893,,,,,,
B28B1389,002,04-12-2013,111,99,892,,,,,,
B28B1389,002,05-12-2013,106,94,897,,,,,,
B28B1389,002,06-12-2013,107,95,896,,,,,,
