Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,29-10-2015,tot:,28-08-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B29A0849,004,,265074,495009,2059,02-09-2015,02-09-2015,26-10-2015,2124,65,,
B29A0849,004,,265074,495009,2059,26-10-2015,26-10-2015,28-08-2019,2124,65,,


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B29A0849,004,14-04-2016,117,52,2007,,,,,,
B29A0849,004,15-04-2016,115,50,2009,,,,,,
B29A0849,004,16-04-2016,107,42,2017,,,,,,
B29A0849,004,17-04-2016,111,46,2013,,,,,,
B29A0849,004,18-04-2016,114,49,2010,,,,,,
B29A0849,004,19-04-2016,117,52,2007,,,,,,
B29A0849,004,20-04-2016,120,55,2004,,,,,,
B29A0849,004,21-04-2016,121,56,2003,,,,,,
B29A0849,004,22-04-2016,122,57,2002,,,,,,
B29A0849,004,23-04-2016,123,58,2001,,,,,,
B29A0849,004,24-04-2016,124,59,2000,,,,,,
B29A0849,004,25-04-2016,124,59,2000,,,,,,
B29A0849,004,26-04-2016,119,54,2005,,,,,,
B29A0849,004,27-04-2016,116,51,2008,,,,,,
B29A0849,004,28-04-2016,119,54,2005,,,,,,
B29A0849,004,29-04-2016,121,56,2003,,,,,,
B29A0849,004,30-04-2016,123,58,2001,,,,,,
B29A0849,004,01-05-2016,125,60,1999,,,,,,
B29A0849,004,02-05-2016,126,61,1998,,,,,,
B29A0849,004,03-05-2016,126,61,1998,,,,,,
B29A0849,004,04-05-2016,129,64,1995,,,,,,
B29A0849,004,05-05-2016,130,65,1994,,,,,,
B29A0849,004,06-05-2016,130,65,1994,,,,,,
B29A0849,004,07-05-2016,132,67,1992,,,,,,
B29A0849,004,08-05-2016,133,68,1991,,,,,,
B29A0849,004,09-05-2016,134,69,1990,,,,,,
B29A0849,004,10-05-2016,135,70,1989,,,,,,
B29A0849,004,11-05-2016,136,71,1988,,,,,,
B29A0849,004,12-05-2016,137,72,1987,,,,,,
B29A0849,004,13-05-2016,139,74,1985,,,,,,
B29A0849,004,14-05-2016,141,76,1983,,,,,,
B29A0849,004,15-05-2016,142,77,1982,,,,,,
B29A0849,004,16-05-2016,143,78,1981,,,,,,
B29A0849,004,17-05-2016,144,79,1980,,,,,,
B29A0849,004,18-05-2016,144,79,1980,,,,,,
B29A0849,004,19-05-2016,145,80,1979,,,,,,
B29A0849,004,20-05-2016,146,81,1978,,,,,,
B29A0849,004,21-05-2016,147,82,1977,,,,,,
B29A0849,004,22-05-2016,148,83,1976,,,,,,
B29A0849,004,23-05-2016,148,83,1976,,,,,,
B29A0849,004,24-05-2016,142,77,1982,,,,,,
B29A0849,004,25-05-2016,143,78,1981,,,,,,
B29A0849,004,26-05-2016,144,79,1980,,,,,,
B29A0849,004,27-05-2016,146,81,1978,,,,,,
B29A0849,004,28-05-2016,146,81,1978,,,,,,
B29A0849,004,29-05-2016,147,82,1977,,,,,,
B29A0849,004,30-05-2016,147,82,1977,,,,,,
B29A0849,004,31-05-2016,143,78,1981,,,,,,
B29A0849,004,01-06-2016,145,80,1979,,,,,,
B29A0849,004,02-06-2016,147,82,1977,,,,,,
B29A0849,004,03-06-2016,147,82,1977,,,,,,
B29A0849,004,04-06-2016,148,83,1976,,,,,,
B29A0849,004,05-06-2016,150,85,1974,,,,,,
B29A0849,004,06-06-2016,152,87,1972,,,,,,
B29A0849,004,07-06-2016,153,88,1971,,,,,,
B29A0849,004,08-06-2016,154,89,1970,,,,,,
B29A0849,004,09-06-2016,154,89,1970,,,,,,
B29A0849,004,10-06-2016,155,90,1969,,,,,,
B29A0849,004,11-06-2016,157,92,1967,,,,,,
B29A0849,004,12-06-2016,157,92,1967,,,,,,
B29A0849,004,13-06-2016,156,91,1968,,,,,,
B29A0849,004,14-06-2016,151,86,1973,,,,,,
B29A0849,004,15-06-2016,148,83,1976,,,,,,
B29A0849,004,16-06-2016,148,83,1976,,,,,,
B29A0849,004,17-06-2016,150,85,1974,,,,,,
B29A0849,004,18-06-2016,151,86,1973,,,,,,
B29A0849,004,19-06-2016,152,87,1972,,,,,,
B29A0849,004,20-06-2016,153,88,1971,,,,,,
B29A0849,004,21-06-2016,148,83,1976,,,,,,
B29A0849,004,22-06-2016,148,83,1976,,,,,,
B29A0849,004,23-06-2016,150,85,1974,,,,,,
B29A0849,004,24-06-2016,145,80,1979,,,,,,
B29A0849,004,25-06-2016,141,76,1983,,,,,,
B29A0849,004,26-06-2016,135,70,1989,,,,,,
B29A0849,004,27-06-2016,135,70,1989,,,,,,
B29A0849,004,28-06-2016,134,69,1990,,,,,,
B29A0849,004,29-06-2016,135,70,1989,,,,,,
B29A0849,004,30-06-2016,138,73,1986,,,,,,
B29A0849,004,01-07-2016,140,75,1984,,,,,,
B29A0849,004,02-07-2016,137,72,1987,,,,,,
B29A0849,004,03-07-2016,138,73,1986,,,,,,
B29A0849,004,04-07-2016,141,76,1983,,,,,,
B29A0849,004,05-07-2016,143,78,1981,,,,,,
B29A0849,004,06-07-2016,145,80,1979,,,,,,
B29A0849,004,07-07-2016,148,83,1976,,,,,,
B29A0849,004,08-07-2016,149,84,1975,,,,,,
B29A0849,004,09-07-2016,151,86,1973,,,,,,
B29A0849,004,10-07-2016,152,87,1972,,,,,,
B29A0849,004,11-07-2016,154,89,1970,,,,,,
B29A0849,004,12-07-2016,156,91,1968,,,,,,
B29A0849,004,13-07-2016,157,92,1967,,,,,,
B29A0849,004,14-07-2016,159,94,1965,,,,,,
B29A0849,004,15-07-2016,160,95,1964,,,,,,
B29A0849,004,16-07-2016,161,96,1963,,,,,,
B29A0849,004,17-07-2016,161,96,1963,,,,,,
