Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,30-10-2015,tot:,18-09-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28H1883,002,,256056,484978,1855,26-08-2015,26-08-2015,18-09-2019,1980,125,1563,1513


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28H1883,002,24-03-2016,111,-14,1869,,,,,,
B28H1883,002,25-03-2016,109,-16,1871,,,,,,
B28H1883,002,26-03-2016,109,-16,1871,,,,,,
B28H1883,002,27-03-2016,108,-17,1872,,,,,,
B28H1883,002,28-03-2016,108,-17,1872,,,,,,
B28H1883,002,29-03-2016,107,-18,1873,,,,,,
B28H1883,002,30-03-2016,107,-18,1873,,,,,,
B28H1883,002,31-03-2016,108,-17,1872,,,,,,
B28H1883,002,01-04-2016,109,-16,1871,,,,,,
B28H1883,002,02-04-2016,109,-16,1871,,,,,,
B28H1883,002,03-04-2016,109,-16,1871,,,,,,
B28H1883,002,04-04-2016,110,-15,1870,,,,,,
B28H1883,002,05-04-2016,110,-15,1870,,,,,,
B28H1883,002,06-04-2016,110,-15,1870,,,,,,
B28H1883,002,07-04-2016,109,-16,1871,,,,,,
B28H1883,002,08-04-2016,110,-15,1870,,,,,,
B28H1883,002,09-04-2016,110,-15,1870,,,,,,
B28H1883,002,10-04-2016,111,-14,1869,,,,,,
B28H1883,002,11-04-2016,111,-14,1869,,,,,,
B28H1883,002,12-04-2016,111,-14,1869,,,,,,
B28H1883,002,13-04-2016,109,-16,1871,,,,,,
B28H1883,002,14-04-2016,110,-15,1870,,,,,,
B28H1883,002,15-04-2016,109,-16,1871,,,,,,
B28H1883,002,16-04-2016,108,-17,1872,,,,,,
B28H1883,002,17-04-2016,109,-16,1871,,,,,,
B28H1883,002,18-04-2016,109,-16,1871,,,,,,
B28H1883,002,19-04-2016,110,-15,1870,,,,,,
B28H1883,002,20-04-2016,111,-14,1869,,,,,,
B28H1883,002,21-04-2016,111,-14,1869,,,,,,
B28H1883,002,22-04-2016,111,-14,1869,,,,,,
B28H1883,002,23-04-2016,112,-13,1868,,,,,,
B28H1883,002,24-04-2016,112,-13,1868,,,,,,
B28H1883,002,25-04-2016,111,-14,1869,,,,,,
B28H1883,002,26-04-2016,108,-17,1872,,,,,,
B28H1883,002,27-04-2016,108,-17,1872,,,,,,
B28H1883,002,28-04-2016,109,-16,1871,,,,,,
B28H1883,002,29-04-2016,109,-16,1871,,,,,,
B28H1883,002,30-04-2016,110,-15,1870,,,,,,
B28H1883,002,01-05-2016,111,-14,1869,,,,,,
B28H1883,002,02-05-2016,111,-14,1869,,,,,,
B28H1883,002,03-05-2016,111,-14,1869,,,,,,
B28H1883,002,04-05-2016,112,-13,1868,,,,,,
B28H1883,002,05-05-2016,112,-13,1868,,,,,,
B28H1883,002,06-05-2016,113,-12,1867,,,,,,
B28H1883,002,07-05-2016,114,-11,1866,,,,,,
B28H1883,002,08-05-2016,116,-9,1864,,,,,,
B28H1883,002,09-05-2016,118,-7,1862,,,,,,
B28H1883,002,10-05-2016,119,-6,1861,,,,,,
B28H1883,002,11-05-2016,121,-4,1859,,,,,,
B28H1883,002,12-05-2016,124,-1,1856,,,,,,
B28H1883,002,13-05-2016,127,2,1853,,,,,,
B28H1883,002,14-05-2016,129,4,1851,,,,,,
B28H1883,002,15-05-2016,128,3,1852,,,,,,
B28H1883,002,16-05-2016,128,3,1852,,,,,,
B28H1883,002,17-05-2016,129,4,1851,,,,,,
B28H1883,002,18-05-2016,131,6,1849,,,,,,
B28H1883,002,19-05-2016,129,4,1851,,,,,,
B28H1883,002,20-05-2016,131,6,1849,,,,,,
B28H1883,002,21-05-2016,133,8,1847,,,,,,
B28H1883,002,22-05-2016,138,13,1842,,,,,,
B28H1883,002,23-05-2016,128,3,1852,,,,,,
B28H1883,002,24-05-2016,114,-11,1866,,,,,,
B28H1883,002,25-05-2016,115,-10,1865,,,,,,
B28H1883,002,26-05-2016,119,-6,1861,,,,,,
B28H1883,002,27-05-2016,120,-5,1860,,,,,,
